sheet_id,question_en,question_fr,file_name,survey_date
admc19,"Administration of COVID-19 questions: CAPI RANDOMISATION: automated random allocation to Group 1 or Group 2, each comprising approximately half of the sample. K3 should be programmed automatically in the CAPI script and NOT displayed/asked in the interview.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS10e03_3,2020-06-01
admrclc,"Administration of reduce climate change: RECORD OUTCOME OF CAPI RANDOMISATION IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)RECORD OUTCOME OF CAPI RANDOMISATION",,ESS11e04_1,2023-06-01
allbpe,"Allow unskilled labourers from [poor European country providing largest number of migrants]: ASK IF D29 = 3 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
allbpne,"Allow unskilled labourers from [poor non-European country providing largest number of migrants]: ASK IF D29 = 4 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alpfpe,"Allow professionals from [poor European country providing largest number of migrants]: ASK IF D29 = 1 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alpfpne,"Allow professionals from [poor non-European country providing largest number of migrants]: ASK IF D29 = 2 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
banhhap,Favour ban sale of least energy efficient household appliances to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.READ OUT EACH STATEMENT AND CODE IN GRID,,ESS8e02_3,2016-06-01
bghtprd,"Bought product for political/ethical/environment reason last 12 months: ASK ALLThere are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Firstly ...Deliberately bought certain products for political, ethical or environmental reasonsREAD OUT",,ESS1e06_7,2002-06-01
btminfr,"Bottom 10% full-time employees in country, earning less than [amount], how fair: STILL CARD 65And now please think about the bottom 10% of employees working full-time in [country], earning less than [amount per month or per year]. In your opinion, are these incomes unfairly low, fair, or unfairly high? Please think generally about people earning this level of incomes.INTERVEIWER: If the respondent needs additional instructions on how to use the scale, please say: If you think these incomes are unfairly low, please choose a number from the left-hand side. If you think these incomes are fair, please choose 0. If you think these incomes are unfairly high, please choose a number from the right-hand side.",,ESS9e03_3,2018-06-01
c19spwrk,"Speak with people you work with in person, how often compared with before COVID-19: ASK IF RESPONDENT DID NOT REPORT HAVING NO LINE MANAGER AT G44 AND NO COLLEAGUES AT G53 (IF G44 = 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 77, 88 OR IF G53 = 01, 02, 03, 04, 05, 06, 07, 77, 88) 
For the next few questions, please think about all the people you work with, regardless of whether they are your line manager or your colleagues.Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...READ OUT...",,ESS10e03_3,2020-06-01
ccgdbd,"Climate change good or bad impact across world: CARD 42How good or bad do you think the impact of climate change will be on people across the world? Please choose a number from 0 to 10, where 0 is extremely bad and 10 is extremely good.",,ESS8e02_3,2016-06-01
ccrdprs,"To what extent feel personal responsibility to reduce climate change: CARD 30
ASK IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)To what extent do you feel a personal responsibility to try to reduce climate change?",,ESS11e04_1,2023-06-01
chpldmc,"In country government changes policies in response to what most people think: ASK IF GOVERNMENT SHOULD CHANGE ITS PLANNED POLICIES, IT DEPENDS, REFUSAL OR DON'T KNOW AT D25 (IF D25 = 1, 5, 7, 8)
CARD 39Using this card, please tell me how often you think the government in [country] today changes its planned policies in response to what most people think?",,ESS10e03_3,2020-06-01
clmchng,Do you think world's climate is changing: CARD 37You may have heard the idea that the world's climate is changing due to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world's climate is changing?Choose your answer from this card.,,ESS8e02_3,2016-06-01
clmthgt1,How much thought about climate change before today: ASK IF DEFINITELY NOT CHANGING AT D19 (code 4) CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01
clmthgt2,How much thought about climate change before today: CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01
cltommb,"Cultural /hobby activity organisation, last 12 months: member: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for cultural or hobby activities? MemberREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01
cnsoptp,"Consumer/automobile organisation, last 12 months: participated: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...a consumer or automobile organisation? ParticipatedREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01
cptppol,"Confident in own ability to participate in politics: CARD 8And using this card, how confident are you in your own ability to participate in politics?",,ESS7e02_3,2014-06-01
cptppola,Confident in own ability to participate in politics: CARD 8And how confident are you in your own ability to participate in politics?,,ESS11e04_1,2023-06-01
ctstogv,"The courts able to stop the government acting beyond its authority: STILL CARD 37And still thinking generally rather than about [country], how important do you think it is for democracy in general... ...that the courts are able to stop the government acting beyond its authority?READ OUT...",,ESS6e02_7,2012-06-01
ctzchtx,"Citizens should not cheat on taxes: CARD 32Using this card, how much do you agree or disagree with each of these statements? Citizens should not cheat on their taxes.",,ESS2e03_6,2004-06-01
dclagr,"Preferred decision level of agricultural policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...agricultureREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01
dclaid,"Preferred decision level of policies about aid to developing countries: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...aid to developing countriesREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01
dclcrm,"Preferred decision level of fighting against organised crime policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...fighting against organised crimeREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01
dclenv,"Preferred decision level of environmental protection policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...protecting the environmentREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01
dclmig,"Preferred decision level of immigration and refugees policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...immigration and refugeesREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01
dfprtal,"Different political parties offer clear alternatives to one another: ASK ALL 
CARD 35Using this card, please tell me how important you think it is for democracy in general... ...that different political parties offer clear alternatives to one another?READ OUT...",,ESS10e03_3,2020-06-01
dscrrlg,Discrimination of respondent's group: religion: ASK IF YES AT C18 (IF C18 = 1)On what grounds is your group discriminated against? ReligionPROBE: 'What other grounds?' CODE ALL THAT APPLY,,ESS11e04_1,2023-06-01
dscrsex,Discrimination of respondent's group: sexuality: ASK IF YES AT C18 (IF C18 = 1)On what grounds is your group discriminated against? SexualityPROBE: 'What other grounds?' CODE ALL THAT APPLY,,ESS11e04_1,2023-06-01
dspplvt,"Voters discuss politics with people they know before deciding how to vote: ASK ALL CARD 37Using this card, please tell me how important you think it is for democracy in general... ...that voters discuss politics with people they know before deciding how to vote?READ OUT...",,ESS6e02_7,2012-06-01
ecohenv,"Economic growth always ends up harming environment: CARD 16Using this card, please say to what extent you agree or disagree with each of the following statements Economic growth always ends up harming the environmentREAD OUT EACH STATEMENT AND CODE IN GRID",,ESS1e06_7,2002-06-01
eimgrpc,"Immigrants from Europe: most from rich/poor countries: Now thinking about people coming to live in [country] nowadays from other countries within Europe, would you say that ...",,ESS1e06_7,2002-06-01
eimpcnt,Allow many/few immigrants from poorer countries in Europe: STILL CARD 17And how about people from the poorer countries in Europe?Still use this card.,,ESS7e02_3,2014-06-01
eimrcnt,"Allow many/few immigrants from richer countries in Europe: STILL CARD 24Now, still using this card, to what extent do you think [country] should allow people from the richer countries in Europe to come and live here?",,ESS1e06_7,2002-06-01
elgsun,How much electricity in [country] should be generated from solar power: CARD 35The highlighted box at the top of this card shows a number of energy sources that can be used to generate electricity. Please take a moment to look over them. How much of the electricity used in [country] should be generated from each energy source? And how about sun or solar power?INTERVIEWER: PAUSE TO ALLOW RESPONDENT TO READ THE LIST. Please choose your answer from the options at the bottom of this card.,,ESS8e02_3,2016-06-01
eneffap,"How likely to buy most energy efficient home appliance: ASK ALL CARD 32If you were to buy a large electrical appliance for your home, how likely is it that you would buy one of the most energy efficient ones?",,ESS8e02_3,2016-06-01
eqparep,"Dividing the number of seats in parliament equally between women and men: CARD 64Using this card, to what extent are you in favour or against a legal measure that requires dividing the number of seats in Parliament equally between women and men?",,ESS11e04_1,2023-06-01
eqpaybg,"Bad or good for economy in [country] if women and men receive equal pay for doing the same work: CARD 63Using this card, in general, how bad or good is it for the strength of the economy in [country] if women and men receive equal pay for doing the same work?",,ESS11e04_1,2023-06-01
eqpolbg,"Bad or good for politics in [country] if equal numbers of women and men are in positions of political leadership: CARD 61Using this card, in general, how bad or good is it for politics in [country] if equal numbers of women and men are in positions of political leadership?",,ESS11e04_1,2023-06-01
eudcnbf,"More decisions made by EU: level of benefits in [country] become higher or lower: CARD 56If more decisions were made by the European Union rather than by national governments, do you think the level of social benefits and services provided in [country] would become higher or lower?",,ESS8e02_3,2016-06-01
euftf,"European Union: European unification go further or gone too far: CARD 15Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card, what number on the scale best describes your position?",,ESS11e04_1,2023-06-01
eusclbf,"Against or In favour of European Union-wide social benefit scheme: CARD 55It has been proposed that there should be a European Union-wide social benefit scheme for all poor people. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, look at the highlighted box at the top of this card, which shows the main features of the scheme. A European Union-wide social benefit scheme includes all of the following: ...READ OUT...- The purpose is to guarantee a minimum standard of living for all poor people in the European Union. - The level of social benefit people receive will be adjusted to reflect the cost of living in their country. - The scheme would require richer European Union countries to pay more into such a scheme than poorer European Union countries. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having such a European Union-wide social benefit scheme?Please choose your answer from the options at the bottom of the card.",,ESS8e02_3,2016-06-01
fineqpy,"Making businesses pay a fine when they pay men more than women for doing the same work: STILL CARD 64Still using this card, to what extent are you in favour or against making businesses pay a fine when they pay men more than women for doing the same work?",,ESS11e04_1,2023-06-01
fplvdm,"Best for democracy: everyone free to express political views, even extreme: There are differing opinions on whether or not everyone should be free to express their political views openly in a democracy, even if they are extreme. Which one of the statements on this card describes what you think is best for democracy in general?",,ESS6e02_7,2012-06-01
fplvdmc,"In country everyone is free to express political views, even extreme: CARD 41Using this card, to what extent do you think everyone in [country] today is free to express their political views openly, even if they are extreme?GO TO E36",,ESS6e02_7,2012-06-01
fplvdmi,"Important for democracy: everyone free to express political views, even extreme: CARD 40How important do you think it is for democracy in general that everyone is free to express their political views openly, even if they are extreme? Please use this card.",,ESS6e02_7,2012-06-01
freinsw,"Firing employees who make insulting comments directed at women in the workplace: STILL CARD 64Still using this card, to what extent are you in favour or against firing employees who make insulting comments to women in the workplace?",,ESS11e04_1,2023-06-01
getavc19,"Whether respondent will get vaccinated against COVID-19 with vaccine approved by the national regulatory authority in country: ASK ALL
ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 1)Will you get vaccinated against coronavirus with a vaccine that was approved by the national regulatory authority in [country]?INTERVIEWER: If respondent says they have only received a first dose of the vaccine, select 'Yes, I already have'.",,ESS10e03_3,2020-06-01
getnvc19,"Whether respondent would get vaccinated against COVID-19 if vaccine is approved by the national regulatory authority in country: ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 2)If a vaccine against coronavirus is approved by the national regulatory authority in Slovenia, would you get vaccinated?",,ESS10e03_3,2020-06-01
gsupplc,"I generally support how the police act: CARD 34Using this card, please say to what extent you agree or disagree with each of the following statements about the police in [country]. I generally support how the police usually act.READ OUT EACH STATEMENT AND CODE IN GRID",,ESS5e03_6,2010-06-01
gvbalc19,How the government balanced protecting the economy and people's health when responding to COVID-19 in country: CARD 95There are different views on how the [country] government balanced protecting the economy and protecting people's health when responding to the coronavirus pandemic. Please say how you think the [country] government responded using the scale on this card.,,ESS10e03_3,2020-06-01
gvcldcr,"Child care services for working parents, governments' responsibility: CARD 48People have different views on what the responsibilities of governments should or should not be. For each of the tasks I read out please tell me on a score of 0-10 how much responsibility you think governments should have. 0 means it should not be governments? responsibility at all and 10 means it should be entirely governments? responsibility. Firstly to... ...ensure sufficient child care services for working parents?READ OUT...",,ESS8e02_3,2016-06-01
gvcodmi,Important for democracy: government formed by coalition: CARD 46How important do you think it is for democracy in general that the government is formed by two or more parties in coalition? Please use this card.,,ESS6e02_7,2012-06-01
gvconc19,"COVID-19 is result of deliberate and concealed efforts of some government or organisation: CARD 97
Using this card, please tell me how much you agree or disagree with the following statement.Coronavirus is the result of deliberate and concealed efforts of some government or organisation",,ESS10e03_3,2020-06-01
gveldc19,"How satisfied with government's response to COVID-19: elderly people in care homes: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. Elderly people in care homes",,ESS10e03_3,2020-06-01
gvfamc19,"How satisfied with government's response to COVID-19: families with school-aged children: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. Families with school-aged children",,ESS10e03_3,2020-06-01
gvhanc19,"How satisfied with government's handling of COVID-19 in country: CARD 94Overall, how satisfied are you with the [country] government's handling of the coronavirus pandemic? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.INTERVIEWER: If the respondent cannot answer due to a change of government during the pandemic period, please select ""Don't know"".",,ESS10e03_3,2020-06-01
gvhlthc,"Health care for the sick, governments' responsibility: CARD 29People have different views on what the responsibilities of governments should or should not be. For each of the tasks I read out please tell me on a score of 0-10 how much responsibility you think governments should have. 0 means it should not be governments? responsibility at all and 10 means it should be entirely governments? responsibility. Firstly to... ...ensure adequate health care for the sick?READ OUT...",,ESS4e04_6,2008-06-01
gvimpc19,"To what extent trust the government to deal with the impact of COVID-19 in country: CARD 96Using this card, please tell me to what extent you trust the national government in [country] to deal with the impact of the coronavirus pandemic. Please answer on a score of 0-10 where 0 means you do not trust the government at all and 10 means you have complete trust.",,ESS10e03_3,2020-06-01
gvjobc19,"How satisfied with government's response to COVID-19: people who have experienced job/income losses: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. People who have experienced job losses or losses of income",,ESS10e03_3,2020-06-01
gvrfgap,"Government should be generous judging applications for refugee status: ASK ALL CARD 31Some people come to this country and apply for refugee status on the grounds that they fear persecution in their own country. Using this card, please say how much you agree or disagree with the following statements. Firstly...The government should be generous in judging people's applications for refugee statusREAD OUT",,ESS8e02_3,2016-06-01
gvspdmi,Important for democracy: government formed by single party: CARD 46How important do you think it is for democracy in general that the government is formed by a single party? Please use this card.,,ESS6e02_7,2012-06-01
gvsrdcc,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 43And how likely do you think it is that governments in enough countries will take action that reduces climate change?",,ESS8e02_3,2016-06-01
hapdkc19,"Things happened since start of COVID-19: don't know: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. Don't knowSelect all that apply.",,ESS10e03_3,2020-06-01
hapfoc19,"Things happened since start of COVID-19: was forced to take unpaid leave/holiday: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was forced to take unpaid leave/holidaySelect all that apply.",,ESS10e03_3,2020-06-01
hapfuc19,"Things happened since start of COVID-19: was furloughed: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was furloughedSelect all that apply.",,ESS10e03_3,2020-06-01
hapirc19,"Things happened since start of COVID-19: income from job was reduced : ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. The income from my job was reducedSelect all that apply.",,ESS10e03_3,2020-06-01
hapljc19,"Things happened since start of COVID-19: was made redundant/lost job: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was made redundant/lost my jobSelect all that apply.",,ESS10e03_3,2020-06-01
hapnac19,"Things happened since start of COVID-19: no answer: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. No answerSelect all that apply.",,ESS10e03_3,2020-06-01
hapnoc19,"Things happened since start of COVID-19: none of these: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. None of theseSelect all that apply.",,ESS10e03_3,2020-06-01
hapnpc19,"Things happened since start of COVID-19: not applicable: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. Not applicableSelect all that apply.",,ESS10e03_3,2020-06-01
